"","p","m","M","avg_e","avg_F","avg_g","avg_t"
"1",0.1,2,15,2,11.2,6.1,1
"2",0.1,2,20,2,13.36,7.18,1
"3",0.1,2,25,2,14.18,7.59,1
"4",0.1,2,30,2,15.52,8.26,1
"5",0.1,2,35,2,17.26,9.13,1
"6",0.1,2,40,2,17.76,9.38,1
"7",0.1,2,45,2,17.44,9.22,1
"8",0.1,2,50,2,13.68,7.34,1
"9",0.1,2,55,2,18.72,9.86,1
"10",0.1,2,60,2,16.56,8.78,1
"11",0.1,3,15,2.7,11.29,7.52,1.7
"12",0.1,3,20,2.61,15.34,9.84,1.61
"13",0.1,3,25,2.56,16.73,10.3,1.56
"14",0.1,3,30,2.56,19.18,11.64,1.56
"15",0.1,3,35,2.5,21.29,12.88,1.5
"16",0.1,3,40,2.48,21.82,12.7,1.48
"17",0.1,3,45,2.39,21.33,11.97,1.39
"18",0.1,3,50,2.42,21.11,12.16,1.42
"19",0.1,3,55,2.37,23.68,13.65,1.37
"20",0.1,3,60,2.42,22.63,12.84,1.42
"21",0.1,4,15,3.69,13.92,9.99,2.63
"22",0.1,4,20,3.61,17.43,12.3,2.53
"23",0.1,4,25,3.41,20.77,13.48,2.31
"24",0.1,4,30,3.24,24.1,15,2.06
"25",0.1,4,35,3.26,26.74,16.57,2.05
"26",0.1,4,40,3.19,27.74,16.39,1.91
"27",0.1,4,45,3.13,31.49,18.33,1.91
"28",0.1,4,50,3.01,30.5,17.56,1.74
"29",0.1,4,55,3.09,32.17,18.95,1.85
"30",0.1,4,60,3.08,35.84,20.46,1.77
"31",0.1,5,15,4.49,13.55,10.72,3.48
"32",0.1,5,20,4.28,18.09,13.46,3.26
"33",0.1,5,25,4.12,22.52,16.12,3.11
"34",0.1,5,30,3.9,24.81,16.75,2.88
"35",0.1,5,35,3.71,27.14,18.13,2.68
"36",0.1,5,40,3.53,31.22,20.04,2.44
"37",0.1,5,45,3.62,33.27,21.26,2.57
"38",0.1,5,50,3.3,32.14,19.65,2.26
"39",0.1,5,55,3.42,35.55,21.45,2.31
"40",0.1,5,60,3.05,32.45,18.84,1.96
"41",0.1,6,15,5.61,14.53,11.83,4.6
"42",0.1,6,20,5.37,19.25,14.79,4.31
"43",0.1,6,25,5.18,23.4,17,4.06
"44",0.1,6,30,4.96,26.86,19.31,3.82
"45",0.1,6,35,4.98,32.02,22.41,3.87
"46",0.1,6,40,4.56,33.38,22.17,3.37
"47",0.1,6,45,4.35,36.51,23.12,3.02
"48",0.1,6,50,4.34,39.74,25.15,3.06
"49",0.1,6,55,4.16,40.13,24.76,2.76
"50",0.1,6,60,4.04,43.69,26.56,2.7
"51",0.1,7,15,6.54,14.5,12.18,5.54
"52",0.1,7,20,6.24,19.53,15.9,5.23
"53",0.1,7,25,5.87,23.96,18.43,4.89
"54",0.1,7,30,5.35,27.98,20.31,4.31
"55",0.1,7,35,5.2,31.24,22.38,4.17
"56",0.1,7,40,5.04,34.92,24.07,3.95
"57",0.1,7,45,4.54,38.14,25.16,3.41
"58",0.1,7,50,4.52,40.06,26.13,3.35
"59",0.1,7,55,4.4,44.05,27.91,3.15
"60",0.1,7,60,4.54,42.83,27.78,3.38
"61",0.1,8,15,7.64,14.84,13.19,6.64
"62",0.1,8,20,7.39,19.49,16.32,6.37
"63",0.1,8,25,6.96,24.43,19.37,5.85
"64",0.1,8,30,6.96,28.83,22.91,5.91
"65",0.1,8,35,6.15,33.06,24.38,5.06
"66",0.1,8,40,6.22,36.82,27,5.07
"67",0.1,8,45,5.6,40.64,28.12,4.38
"68",0.1,8,50,5.13,41.42,27.13,3.87
"69",0.1,8,55,5.08,47.03,30.52,3.84
"70",0.1,8,60,5.11,49.03,31.82,3.84
"71",0.1,9,15,8.65,14.85,13.32,7.63
"72",0.1,9,20,8.48,19.61,16.88,7.5
"73",0.1,9,25,8.01,24.66,20.85,7.09
"74",0.1,9,30,7.63,28.95,23.35,6.69
"75",0.1,9,35,7.32,34.03,26.79,6.41
"76",0.1,9,40,6.7,37.17,27.47,5.64
"77",0.1,9,45,6.73,41.35,31.25,5.81
"78",0.1,9,50,6.05,44.95,31.65,5.06
"79",0.1,9,55,5.81,49.09,33.42,4.71
"80",0.1,9,60,5.78,51.11,34.8,4.79
"81",0.1,10,15,9.74,14.87,13.45,8.74
"82",0.1,10,20,9.66,18.85,17.21,8.65
"83",0.1,10,25,9.3,24.59,21.05,8.32
"84",0.1,10,30,8.58,28.71,23.94,7.63
"85",0.1,10,35,8.38,33.86,27.3,7.36
"86",0.1,10,40,8,37.78,29.77,7.02
"87",0.1,10,45,6.86,42.88,30.7,5.78
"88",0.1,10,50,7.2,45.99,34.11,6.18
"89",0.1,10,55,6.38,48.94,33.88,5.35
"90",0.1,10,60,6.67,53.25,37,5.58
"91",0.1,11,15,10.79,14.84,13.56,9.79
"92",0.1,11,20,10.4,19.94,18.06,9.45
"93",0.1,11,25,10.24,24.72,21.51,9.25
"94",0.1,11,30,9.55,29.44,24.95,8.71
"95",0.1,11,35,9.13,33.99,27.86,8.33
"96",0.1,11,40,8.74,39.07,31.25,7.89
"97",0.1,11,45,8.12,42.66,33.08,7.34
"98",0.1,11,50,7.8,46.98,35.38,6.96
"99",0.1,11,55,7.43,51.48,37.84,6.55
"100",0.1,11,60,7.06,54.39,38.62,6.15
"101",0.2,2,15,2,7.42,4.21,1
"102",0.2,2,20,2,7.8,4.4,1
"103",0.2,2,25,2,9.6,5.3,1
"104",0.2,2,30,2,8.42,4.71,1
"105",0.2,2,35,2,9.14,5.07,1
"106",0.2,2,40,2,7.44,4.22,1
"107",0.2,2,45,2,8.76,4.88,1
"108",0.2,2,50,2,9.6,5.3,1
"109",0.2,2,55,2,9.02,5.01,1
"110",0.2,2,60,2,8.84,4.92,1
"111",0.2,3,15,2.51,10.1,6.42,1.51
"112",0.2,3,20,2.49,11.93,7.46,1.49
"113",0.2,3,25,2.4,12.61,7.5,1.4
"114",0.2,3,30,2.48,12.43,7.5,1.48
"115",0.2,3,35,2.43,13.1,7.65,1.43
"116",0.2,3,40,2.45,13.24,7.66,1.45
"117",0.2,3,45,2.41,13.69,7.88,1.41
"118",0.2,3,50,2.39,13.75,8.03,1.39
"119",0.2,3,55,2.41,12.91,7.49,1.41
"120",0.2,3,60,2.5,13.3,7.91,1.5
"121",0.2,4,15,3.46,12.66,8.51,2.33
"122",0.2,4,20,3.29,14.49,9.09,2.13
"123",0.2,4,25,3.33,17.16,10.55,2.11
"124",0.2,4,30,3.06,17.28,10.25,1.75
"125",0.2,4,35,3,17.56,10.23,1.73
"126",0.2,4,40,3.01,19.2,11.14,1.72
"127",0.2,4,45,3.07,19.16,11.1,1.79
"128",0.2,4,50,3.06,20.9,11.89,1.75
"129",0.2,4,55,3.09,18.58,10.76,1.8
"130",0.2,4,60,2.97,20.14,11.28,1.66
"131",0.2,5,15,4,12.71,9.09,2.91
"132",0.2,5,20,4.07,16.51,11.44,2.97
"133",0.2,5,25,3.65,18.21,11.96,2.57
"134",0.2,5,30,3.67,20.44,13,2.48
"135",0.2,5,35,3.46,21.45,13.02,2.25
"136",0.2,5,40,3.26,21.42,12.47,2.07
"137",0.2,5,45,3.4,21,12.64,2.17
"138",0.2,5,50,3.08,22.99,13.15,1.86
"139",0.2,5,55,3.3,21.03,12.45,2.07
